size,bold,italic,text_len,num_prefix,is_larger_than_common_font,text_case,is_bulleted,text,label
11,0,0,81,0,0,sentence,0,Would you like a study plan or a breakdown of system examples with diagrams next?,P
12.4,0,0,8,0,0,upper,0,ADDRESS:,H2
12.4,0,0,7,0,0,upper,0,TOPJUMP,H2
12.4,0,0,12,0,0,upper,0,3735 PARKWAY,H2
12.4,0,0,22,0,0,upper,0,"PIGEON FORGE, TN 37863",H2
9.4,0,0,36,0,0,upper,0,(NEAR DIXIE STAMPEDE ON THE PARKWAY),H3
12.4,1,0,22,0,0,upper,0,RSVP: ----------------,H2
7.2,0,0,43,0,0,upper,0,CLOSED TOED SHOES ARE REQUIRED FOR CLIMBING,H3
7.2,0,0,45,0,0,upper,0,"PARENTS OR GUARDIANS NOT ATTENDING THE PARTY,",H3
7.2,0,0,43,0,0,upper,0,PLEASE VISIT TOPJUMP.COM TO FILL OUT WAIVER,H3
7.2,0,0,25,0,0,upper,0,SO YOUR CHILD CAN ATTEND.,H3
26.4,1,0,22,0,1,mixed,0,HOPE To SEE You THERE!,H1
23.4,0,0,15,0,1,upper,0,WWW.TOPJUMP.COM,H1
28,1,0,36,0,1,mixed,0,Parsippany -Troy Hills STEM Pathways,H1
14,0,0,80,0,1,mixed,0,Mission Statement: To provide PTHSD high school students with the opportunity to,H2
12,0,0,89,0,1,lower,0,"concentrate their studies, beyond those required in high school, in the areas of science,",P
12,0,0,84,0,1,lower,0,"technology, engineering, and mathematics, and expose students to relevant real world",P
12,0,0,92,0,1,lower,0,"experiences through project work, conferences and presentations to enhance their high school",P
12,0,0,11,0,1,lower,0,experience.,P
14,0,0,6,0,1,sentence,0,Goals:,H2
11.5,0,0,63,0,1,sentence,1,"Inspire keen interest in mathematics, science, engineering, and",P
11.5,0,0,57,0,1,lower,0,"technology, develop strong scholarship in the subject and",P
11.5,0,0,54,0,1,lower,0,promote the enjoyment of these studies in high school.,P
11.5,0,0,63,0,1,sentence,1,Expose students to potential career opportunities in the field.,P
11.5,0,0,58,0,1,sentence,1,Encourage students to pursue higher education and major in,P
11.5,0,0,13,0,1,mixed,0,STEM careers.,P
11.5,0,0,59,0,1,mixed,1,Promote interactions with STEM professionals to learn about,P
11.5,0,0,21,0,1,lower,0,future opportunities.,P
11.5,0,0,59,0,1,sentence,1,Support field experiences connected to the world outside of,P
11.5,0,0,20,0,1,lower,0,the school building.,P
11.5,0,0,57,0,1,sentence,1,"Signal to employers, universities, training programs, and",P
11.5,0,0,60,0,1,lower,0,military that a student has completed a comprehensive course,P
11.5,0,0,31,0,1,lower,0,of study in a specialized area.,P
11.5,0,0,61,0,1,sentence,1,"Cultivate transferable work habits such as perseverance, goal",P
11.5,0,0,28,0,1,lower,0,"setting, and self-direction.",P
15.3,0,0,15,0,1,upper,0,PATHWAY OPTIONS,H2
15.3,1,0,15,0,1,upper,0,REGULAR PATHWAY,H2
11,0,0,17,0,0,mixed,0,4 credits of Math,P
11,0,0,20,0,0,mixed,0,4 credits of Science,P
11,0,0,38,0,0,mixed,0,4 credits of STEM-designated electives,P
11,0,0,28,0,0,mixed,0,Maintain an overall 2.85 GPA,P
11,0,0,34,0,0,mixed,0,Participate in a minimum of 3 STEM,P
11,0,0,35,0,0,lower,0,presentations/conferences each year,P
11,0,0,35,0,0,lower,0,with a required minimum total of 12,P
11,0,0,36,0,0,lower,0,presentations/conferences throughout,P
11,0,0,14,0,0,lower,0,the 4 years. *,P
11,0,0,34,0,0,sentence,0,Join and actively participate in a,P
11,0,0,40,0,0,mixed,0,STEM-related extracurricular activity or,P
11,0,0,32,0,0,lower,0,club every year of attendance. -,P
15.3,1,0,19,0,1,upper,0,DISTINCTION PATHWAY,H2
11,0,0,37,0,0,mixed,0,4 credits of Math - At least one math,P
11,0,0,34,0,0,mixed,0,course should be an AP Math class.,P
11,0,0,34,0,0,mixed,0,4 credits of Science- At least one,P
11,0,0,30,0,0,mixed,0,science course should be an AP,P
11,0,0,14,0,0,sentence,0,Science class.,P
11,0,0,38,0,0,mixed,0,4 credits of STEM-designated electives,P
11,0,0,24,0,0,mixed,1,- One must be a Computer,P
11,0,0,24,0,0,mixed,0,Science/Technology Class,P
11,0,0,27,0,0,mixed,0,Maintain an overall 3.5 GPA,P
11,0,0,34,0,0,mixed,0,Participate in a minimum of 3 STEM,P
11,0,0,39,0,0,lower,0,presentations/conferences a year with a,P
11,0,0,28,0,0,lower,0,required minimum total of 12,P
11,0,0,36,0,0,lower,0,presentations/conferences throughout,P
11,0,0,12,0,0,lower,0,the 4 years.,P
11,0,0,34,0,0,sentence,0,Join and actively participate in a,P
11,0,0,40,0,0,mixed,0,STEM-related extracurricular activity or,P
11,0,0,30,0,0,lower,0,club every year of attendance.,P
11,0,0,38,0,0,sentence,0,Either participate in an internship or,P
11,0,0,32,0,0,lower,0,design and implement a community,P
11,0,0,15,0,0,lower,0,impact project.,P
11.7,1,0,41,0,1,mixed,0,Application form for grant of LTC advance,H2
9.7,1,0,2,1,0,mixed,0,1,P
9.7,1,0,2,1,0,mixed,0,2,P
9.7,1,0,2,1,0,mixed,0,3,P
9.7,0,0,30,0,0,mixed,0,Name of the Government Servant,P
9.7,0,0,11,0,0,sentence,0,Designation,P
9.7,0,0,39,0,0,mixed,0,Date of entering the Central Government,P
9.7,0,0,7,0,0,sentence,0,Service,P
9.7,0,0,14,0,0,upper,0,PAY + SI + NPA,P
9.7,1,0,2,1,0,mixed,0,4,P
9.7,1,0,33,1,0,mixed,0,5. Whether permanent or temporary,P
9.7,1,0,2,1,0,mixed,0,6,P
9.7,0,0,41,0,0,mixed,0,Home Town as recorded in the Service Book,P
9.7,0,0,41,0,0,sentence,0,Whether wife / husband is employed and if,P
9.7,1,0,2,1,0,mixed,0,7,P
9.7,1,0,2,1,0,mixed,0,8,P
9.7,1,0,2,1,0,mixed,0,9,P
9.7,0,0,26,0,0,mixed,0,so whether entitled to LTC,P
9.7,0,0,43,0,0,sentence,0,Whether the concession is to be availed for,P
9.7,0,0,44,0,0,lower,0,visiting home town and if so block for which,P
9.7,0,0,21,0,0,mixed,0,LTC is to be availed.,P
9.7,0,0,45,0,0,mixed,0,(a) If the concession is to visit anywhere in,P
9.7,0,0,31,0,0,sentence,0,"India, the place to be visited.",P
9.7,0,0,34,0,0,mixed,0,(b) Block for which to be availed.,P
9.7,0,0,6,0,0,sentence,0,Single,P
9.7,0,0,4,0,0,lower,0,rail,P
9.7,0,0,8,0,0,lower,0,fare/bus,P
9.7,0,0,4,0,0,lower,0,fare,P
9.7,0,0,4,0,0,lower,0,from,P
9.7,0,0,3,0,0,lower,0,the,P
9.7,1,0,3,1,0,mixed,0,10,P
9.7,0,0,43,0,0,lower,0,headquarters to home town/place of visit by,P
9.7,0,0,15,0,0,lower,0,shortest route.,P
9.7,0,0,57,0,0,mixed,0,Persons in respect of whom LTC is proposed to be availed.,P
9.7,1,0,4,0,0,sentence,0,Name,H3
9.7,1,0,3,0,0,sentence,0,Age,H3
9.7,1,0,12,0,0,sentence,0,Relationship,H3
9.7,1,0,4,0,0,mixed,0,S.No,H3
9.7,1,0,2,1,0,mixed,0,1,H3
9.7,1,0,2,1,0,mixed,0,2,H3
9.7,1,0,2,1,0,mixed,0,3,H3
9.7,1,0,2,1,0,mixed,0,4,H3
9.7,1,0,2,1,0,mixed,0,5,H3
9.7,1,0,2,1,0,mixed,0,6,H3
9.7,0,0,27,0,0,sentence,0,Amount of advance required.,P
9.7,0,0,3,0,0,sentence,0,Rs.,P
9.7,1,0,3,1,0,mixed,0,11,P
9.7,1,0,3,1,0,mixed,0,12,P
9.7,0,0,96,0,0,sentence,0,I declare that the particulars furnished above are true and correct to the best of my knowledge.,P
9.7,0,0,1,0,0,upper,0,I,P
9.7,0,0,99,0,0,lower,0,undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,P
9.7,0,0,109,0,0,mixed,0,In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,P
9.7,0,0,66,0,0,mixed,0,"advance, I undertake to refund the entire advance in one lump sum.",P
9.7,1,0,4,0,0,sentence,0,Date,H3
9.7,1,0,32,0,0,mixed,0,Signature of Government Servant.,H3
16,1,0,18,0,1,mixed,0,Ontarios Libraries,H2
16,1,0,16,0,1,mixed,0,Working Together,H2
32,1,0,6,0,1,lower,0,oposal,H1
32,1,0,33,0,1,mixed,0,quest foooor Prr Prr Prr Proposal,H1
32,1,0,6,0,1,lower,0,oposal,H1
32,1,0,7,0,1,lower,0,quest f,H1
32,1,0,17,0,1,mixed,0,RFP: Reeeequest f,H1
32,1,0,6,0,1,upper,0,RFP: R,H1
32,1,0,6,0,1,lower,0,oposal,H1
32,1,0,7,0,1,lower,0,quest f,H1
32,1,0,6,0,1,upper,0,RFP: R,H1
32,1,0,6,0,1,upper,0,RFP: R,H1
24,0,0,36,0,1,mixed,0,To Present a Proposal for Developing,H2
24,0,0,33,0,1,mixed,0,the Business Plan for the Ontario,H2
24,0,0,15,0,1,mixed,0,Digital Library,H2
20,0,0,14,0,1,sentence,0,"March 21, 2003",H2
10,0,0,101,0,0,mixed,0,"The Ontario Digital Library will make Ontario a better place to study, work and live by ensuring that",P
10,0,0,94,0,0,mixed,0,all Ontario citizens have access to the knowledge and learning supports needed to be life-long,P
10,0,0,64,0,0,mixed,0,learners and effective contributors towards Ontarios prosperity.,P
20,1,0,24,0,1,mixed,0,Ontarios Digital Library,H2
16,0,0,58,0,1,mixed,0,A Critical Component for Implementing Ontarios Road Map to,H2
16,0,0,19,0,1,mixed,0,Prosperity Strategy,P
12,1,0,7,0,1,sentence,0,Summary,H3
11,0,0,87,0,0,mixed,0,The purpose of this Request for Proposal (RFP) is to invite firms and/or consultants to,P
11,0,0,90,0,0,mixed,0,present a proposal for developing the business plan for the Ontario Digital Library (ODL).,P
11,0,0,97,0,0,mixed,0,The ODL will deliver high-quality library electronic content to all Ontario residents in order to,P
11,0,0,93,0,0,mixed,0,"assist people as they learn, work, and enhance their quality of life. The business plan to be",P
11,0,0,49,0,0,lower,0,developed is to document and clearly communicate:,P
11,0,0,55,0,0,mixed,0,"how the ODL will be implemented, including the timeline",P
11,0,0,41,0,0,lower,0,the financial plan for the implementation,P
11,0,0,90,0,0,lower,0,"the financial plan for the first 2 operating years, including capital and operating costs,",P
11,0,0,14,0,0,lower,0,"revenues, etc.",P
11,0,0,57,0,0,lower,0,a financial forecast for the succeeding 2 operating years,P
11,0,0,52,0,0,mixed,0,the services and products to be delivered by the ODL,P
11,0,0,68,0,0,mixed,0,how the ODL will operate and be managed following the implementation,P
11,0,0,78,0,0,lower,0,"who will be involved, and what their role/responsibility will be, for both the",P
11,0,0,37,0,0,lower,0,implementation and operational stages,P
11,0,0,49,0,0,mixed,0,the marketing and communications plan for the ODL,P
11,0,0,82,0,0,mixed,0,This business plan must be completed and approved by the ODL Steering Committee no,P
11,0,0,29,0,0,mixed,0,"later than September 30, 2003",P
11,0,1,9,0,0,sentence,0,Timeline:,P
11,0,0,85,0,0,mixed,0,Those firms/consultants intended to submit a proposal to this RFP must indicate their,P
11,0,0,86,0,0,mixed,0,intention to do so in an e-mail to Michael Ridley (mridley@uoguelph.ca) by April 11th.,P
11,0,0,69,0,0,mixed,0,"Proposals may be e-mailed, mailed, couriered or faxed to: Larry Moore",P
11,0,0,88,0,0,mixed,0,"(lmoore@accessola.com), Executive Director, The Ontario Library Association, 100 Lombard",P
10,0,0,82,0,0,mixed,0,"St., Suite 303, Toronto, ON M5C 1M3. Proposals must be received by Noon on Monday,",P
11,1,1,15,0,0,sentence,0,"April 21, 2003.",P
11,0,0,95,0,0,sentence,0,Those proposals that are short-listed will be invited to discuss their proposal during the week,P
11,0,0,87,0,0,mixed,0,"of April 28, 2003. No presentation will be expected. Firms or consultants invited to an",P
11,0,0,87,0,0,lower,0,interview will be expected to discuss the project and their approach with the selection,P
11,0,0,10,0,0,lower,0,committee.,P
11,0,0,90,0,0,mixed,0,"Contracts with the firm/consultant will be signed the week of May 5, 2003 with the work to",P
11,0,0,40,0,0,lower,0,commence as soon as possible thereafter.,P
7.6,1,1,57,0,0,mixed,0,RFP: To Develop the Ontario Digital Library Business Plan,P
7.6,1,1,10,0,0,sentence,0,March 2003,P
9,1,1,4,0,0,mixed,0,2222,P
11,0,0,90,0,0,sentence,0,Please note that we reserve the right not to select any of the submitted proposals and may,P
11,0,0,50,0,0,mixed,0,seek further response to these Terms of Reference.,P
11,0,0,93,0,0,mixed,0,"If you require further information or have any questions, please contact Michael Ridley by e-",P
11,0,0,84,0,0,mixed,0,mail (mridley@uoguelph.ca) only by 3:00 p.m. on Friday April 18th. All questions and,P
11,0,0,85,0,0,lower,0,responses will be shared with those who have indicated that they will be submitting a,P
11,0,0,92,0,0,mixed,0,"proposal. Please note, that firms/consultants who have not indicated in an e-mail to Michael",P
11,0,0,89,0,0,mixed,0,Ridley by April 11th that they will be submitting a proposal will not receive any further,P
11,0,0,34,0,0,lower,0,information or question responses.,P
12,1,0,10,0,1,sentence,0,Background,H3
11,0,0,89,0,0,mixed,0,"First, some background on the ODL. For the last two years the Ontario Library Association",P
11,0,0,88,0,0,mixed,0,"has acted as a catalyst, bringing together the stakeholders needed to create the Ontario",P
11,0,0,94,0,0,mixed,0,"Digital Library (ODL). These stakeholders include Ontarios 5000+ public libraries, university,",P
11,0,0,72,0,0,mixed,0,"college, and school libraries, as well as Ontario government ministries.",P
11,0,0,96,0,0,sentence,0,Libraries that serve very different clientele recognize that by working together they can create,P
11,0,0,89,0,0,mixed,0,"seamless access to quality electronic library services. Through the ODL, students will be",P
11,0,0,92,0,0,lower,0,"able to explore a topic at school, use the same child-safe resources after school (either at",P
11,0,0,88,0,0,lower,0,"home or at a public library), enter college or university with a knowledge of how to use",P
11,0,0,95,0,0,lower,0,"electronic resources that are still available and then, after graduation, continue to use these",P
11,0,0,40,0,0,lower,0,skills and resources at work or at home.,P
11,0,0,89,0,0,mixed,0,We are moving into a period of convergence. With convergence we no longer have to license,P
11,0,0,94,0,0,mixed,0,commercial products as individual libraries or institutions. We can work together to spend our,P
11,0,0,89,0,0,mixed,0,money wisely. The provincial government has made this possible by working hard to provide,P
11,0,0,93,0,0,mixed,0,"all Ontarians with a stable, high-speed communications infrastructure. While there is still a",P
11,0,0,93,0,0,lower,0,"great deal of work needed to improve this infrastructure, libraries are beginning to plan how",P
11,0,0,90,0,0,mixed,0,best to exploit communications technology. We can reduce barriers to access and create the,P
11,0,0,61,0,0,lower,0,content infrastructure needed to support a knowledge society.,P
11,0,0,88,0,0,mixed,0,"The concept of an ODL is a key element in The Roadmap to Prosperity, a strategic plan to",P
11,0,0,86,0,0,mixed,0,envision and attain Ontarios economic goal prepared by the Ontario Jobs and Investment,P
11,0,0,90,0,0,mixed,0,Board. The OJIB strategic plan recommends an electronic library to connect students to new,P
11,0,0,90,0,0,mixed,0,"workplaces, new sources of information and applied learning opportunities. The ODL will do",P
11,0,0,90,0,0,mixed,0,"that and much more. The ODL will connect students to electronic information, and will also",P
11,0,0,96,0,0,lower,0,leverage this investment to help connect all citizens to the electronic information they need as,P
11,0,0,70,0,0,lower,0,"they make decisions, solve problems and enhance their quality of life.",P
11,0,0,90,0,0,mixed,0,Libraries have long been a key delivery point for public services. The ODL will allow that,P
11,0,0,94,0,0,lower,0,"delivery point to move closer to citizens, into the smallest of libraries and even into living",P
11,0,0,6,0,0,lower,0,rooms.,P
11,0,0,96,0,0,sentence,0,"Libraries have a long tradition of using a practical, consultative approach to solving problems,",P
11,0,0,86,0,0,mixed,0,and of learning from others. The ODL is a very practical solution to various problems.,P
11,0,0,91,0,0,mixed,0,Jurisdiction-wide digital libraries are very practical and very real. The ODL we propose is,P
11,0,0,90,0,0,mixed,0,leading edge for Ontario but several jurisdictions have forged the path with collaborative,P
11,0,0,94,0,0,mixed,0,"digital libraries. We can learn from their experiences. For example, The Alberta Library (TAL)",P
7.6,1,1,57,0,0,mixed,0,RFP: To Develop the Ontario Digital Library Business Plan,P
7.6,1,1,10,0,0,sentence,0,March 2003,P
9,1,1,4,0,0,mixed,0,3333,P
11,0,0,89,0,0,mixed,0,was incorporated in 1997 as a province-wide library consortium. TAL works collaboratively,P
11,0,0,88,0,0,lower,0,with its members to promote universal access to materials and resources in more than 250,P
11,0,0,88,0,0,mixed,0,"public, post-secondary, special, government and regional libraries. Unlike ODL, TAL does",P
11,0,0,85,0,0,mixed,0,"not include elementary or secondary schools. However, the timeline and funding we are",P
11,0,0,87,0,0,mixed,0,proposing for ODL is comparable to TALs experience. TALs business planning took several,P
11,0,0,89,0,0,mixed,0,years. TALs implementation plan was supported by 8 million dollars in provincially shared,P
11,0,0,95,0,0,mixed,0,"funding, spread over three years, later revised to 15 million dollars over 4 years. Not only is",P
11,0,0,81,0,0,mixed,0,"Albertas population 30% of Ontarios, TAL does not include elementary or secondary",P
11,0,0,88,0,0,mixed,0,schools as partners; it has 250 member libraries. ODL envisions universal access for all,P
11,0,0,89,0,0,mixed,0,"10,000,000 Ontarians, with more than 5000 Ontario libraries as partners. Although ODL can",P
11,0,0,89,0,0,mixed,0,"learn from TALs practices, the scope of planning and implementing ODL is much larger than",P
11,0,0,4,0,0,upper,0,TAL.,P
11,0,0,90,0,0,mixed,0,The ODL will be a partnership-based organization providing seamless electronic information,P
11,0,0,101,0,0,mixed,0,services and resources to the citizens of Ontario. It will use local libraries as the entry point for,P
11,0,0,87,0,0,mixed,0,common resources The ODL will recognize the unique responsibilities and needs of public,P
11,0,0,92,0,0,mixed,0,"libraries, school libraries, college and university libraries and special libraries. The ODL",P
11,0,0,90,0,0,lower,0,"envisions a digital network of information resources, allowing members to collaborate when",P
11,0,0,78,0,0,lower,0,there is mutual benefit and to support the common mandates of local libraries.,P
11,0,0,55,0,0,mixed,0,The principles which will define and guide the ODL are:,P
11,1,1,35,0,0,mixed,0,Equitable access for all Ontarians:,H3
11,0,0,86,0,0,sentence,0,"We will bring consistent, high-quality electronic resources and services to 10 million",P
11,0,0,16,0,0,sentence,0,Ontario citizens,P
11,0,0,82,0,0,sentence,0,We will eliminate barriers to the access to information and create more consistent,P
11,0,0,29,0,0,lower,0,services for library clients.,P
11,1,1,42,0,0,sentence,0,Shared decision-making and accountability:,H3
11,0,0,81,0,0,mixed,0,We will facilitate consensus among members regarding ODLs portfolio of electronic,P
11,0,0,21,0,0,lower,0,licenses and services,P
11,0,0,87,0,0,sentence,0,We will balance the interests and realities of small and large as well as rich and poor,P
11,0,0,29,0,0,lower,0,communities and institutions.,P
11,1,1,28,0,0,sentence,0,Shared governance structure:,H3
11,0,0,69,0,0,sentence,0,We will share decision-making in order to enable the people we serve.,P
11,0,0,68,0,0,sentence,0,We will work based on an underlying assumption of trust and synergy.,P
11,1,1,15,0,0,sentence,0,Shared funding:,H3
11,0,0,91,0,0,sentence,0,"We will leverage provincial, institutional, and local dollars to realize economies of scale",P
11,0,0,45,0,0,mixed,0,and put Ontario dollars to work for everyone.,P
11,0,0,91,0,0,sentence,0,We will be willing to pool talents and dollars in order to provide common services that are,P
11,0,0,75,0,0,lower,0,truly greater than those that can be maintained by individual institutions.,P
7.6,1,1,57,0,0,mixed,0,RFP: To Develop the Ontario Digital Library Business Plan,P
7.6,1,1,10,0,0,sentence,0,March 2003,P
9,1,1,4,0,0,mixed,0,4444,P
11,1,1,22,0,0,sentence,0,Local points of entry:,H3
11,0,0,84,0,0,sentence,0,"We will provide the licenses, infrastructure, services and support that enable local",P
11,0,0,88,0,0,mixed,0,"libraries to provide exceptional services to their clientele. ODL will focus on support,",P
11,0,0,46,0,0,lower,0,"providing the underpinning, not overshadowing.",P
11,0,0,41,0,0,mixed,0,Services envisioned for the ODLs include:,P
11,1,1,7,0,0,sentence,0,Access:,H3
11,0,0,64,0,0,mixed,0,"to the deep web (i.e. Commercial, purchased electronic services)",P
11,0,0,46,0,0,lower,0,to credible web sites and electronic resources,P
11,0,0,33,0,0,lower,0,to digital government information,P
11,0,0,28,0,0,lower,0,to local digital collections,P
11,1,1,20,0,0,mixed,0,Guidance and Advice:,H3
11,0,0,21,0,0,lower,0,to support e-learning,P
11,0,0,74,0,0,lower,0,"to support citizens, in real-time, as they try to use electronic resources",P
11,0,0,40,0,0,lower,0,to assist citizens as they use web-links,P
11,1,1,9,0,0,sentence,0,Training:,H3
11,0,0,19,0,0,lower,0,for library workers,P
11,0,0,22,0,0,lower,0,for the general public,P
11,1,1,34,0,0,mixed,0,Provincial Purchasing & Licensing:,H3
11,0,0,67,0,0,lower,0,of electronic content on a consortia basis for all member libraries,P
11,1,1,22,0,0,mixed,0,Technological Support:,H3
11,0,0,76,0,0,lower,0,of common standards for the preservation and archiving local digital content,P
11,0,0,81,0,0,mixed,0,of a common interface to ODL resources and services that can be imbedded in local,P
11,0,0,17,0,0,lower,0,library web sites,P
11,1,0,31,0,0,mixed,0,What could the ODL really mean?,H2
11,1,0,39,0,0,mixed,0,For each Ontario citizen it could mean:,H3
11,0,0,75,0,0,sentence,0,One local point of entry to access seamless electronic library services and,P
11,0,0,65,0,0,lower,0,"resources for their personal, educational and professional needs;",P
11,0,0,81,0,0,sentence,0,"Access to credible, high-quality, user-friendly electronic services through their",P
11,0,0,39,0,0,lower,0,"community, school, or academic library;",P
11,0,0,75,0,0,sentence,0,Confidence that the electronic services and sources they and their children,P
11,0,0,66,0,0,lower,0,"are using are safe, valid, and bringing them both global and local",P
11,0,0,13,0,0,lower,0,perspectives;,P
11,0,0,73,0,0,sentence,0,Electronic information and tools that enhance job skills and the learning,P
11,0,0,10,0,0,lower,0,experience,P
11,1,0,39,0,0,mixed,0,For each Ontario student it could mean:,H3
11,0,0,77,0,0,sentence,0,"One local point of entry to quality, curriculum- based electronic information",P
11,0,0,22,0,0,lower,0,resources and services,P
11,0,0,70,0,0,sentence,0,"Connection to their individual educational environment, whether at the",P
11,0,0,46,0,0,lower,0,"elementary, secondary or post-secondary levels",P
7.6,1,1,57,0,0,mixed,0,RFP: To Develop the Ontario Digital Library Business Plan,P
7.6,1,1,10,0,0,sentence,0,March 2003,P
9,1,1,4,0,0,mixed,0,5555,P
11,0,0,73,0,0,sentence,0,"Confidence that the services and resources people are using are credible,",P
11,0,0,72,0,0,lower,0,available when they need them and adaptable to different learning styles,P
11,1,0,39,0,0,mixed,0,For each Ontario library it could mean:,H3
